date,close,volume,open,high,low,year,weekday,change,nChange
2017-07-03,352.62,6305401.0,370.24,371.35,351.5,2017,0,-0.06588253993483272,0.3921116400489002
2017-07-10,316.05,13760290.0,312.9,317.94,303.13,2017,0,-0.10370937553173386,0.31091430793231095
2017-07-17,319.57,9827506.0,325.54,327.1,313.45,2017,0,0.011137478247112741,0.557439241400188
2017-07-24,342.52,8598292.0,330.24,343.399,330.01,2017,0,0.07181525174453168,0.6876873377323254
2017-07-31,323.47,8525454.0,335.5,341.49,321.04,2017,0,-0.05561719023706632,0.41414676393779226
2017-08-07,355.17,6309331.0,357.35,359.48,352.75,2017,0,0.09799981451139204,0.7438939065810983
2017-08-14,363.8,4507969.0,364.63,367.66,362.6,2017,0,0.024298223385984162,0.585689486948887
2017-08-21,337.86,6489850.0,345.82,345.82,331.85,2017,0,-0.07130291368884001,0.3804765169688129
2017-08-28,345.66,3746240.0,347.28,347.35,339.72,2017,0,0.023086485526549492,0.5830884266207316
2017-09-11,363.69,7651000.0,351.35,363.71,350.0,2017,0,0.052161083145287196,0.6454986103369248
2017-09-18,385.0,7177773.0,380.25,389.61,377.68,2017,0,0.058593857406032616,0.6593069054226387
2017-09-25,344.99,7587158.0,353.15,357.469,342.88,2017,0,-0.1039220779220779,0.31045773083940253
2017-10-02,341.53,5227547.0,342.52,343.7,335.51,2017,0,-0.01002927621090477,0.5120036673047766
2017-10-09,342.94,7461461.0,349.65,351.75,342.67,2017,0,0.004128480660556979,0.5423940520297463
2017-10-16,350.6,5373090.0,353.76,354.48,347.16,2017,0,0.02233626873505577,0.5814780460267136
2017-10-23,337.02,5739598.0,349.88,349.95,336.25,2017,0,-0.03873359954363959,0.45038829720966433
2017-10-30,320.08,4247619.0,319.18,323.78,317.25,2017,0,-0.05026407928312859,0.42563750380870663
2017-11-06,302.78,6480689.0,307.0,307.5,299.01,2017,0,-0.05404898775306177,0.41751299470783876
2017-11-13,315.4,7565242.0,300.13,316.8,299.11,2017,0,0.04168042803355573,0.6230013218252629
2017-11-20,308.74,8241821.0,313.79,315.5,304.75,2017,0,-0.021116043119847713,0.48820532730093025
2017-11-27,316.81,4537779.0,313.25,317.34,309.51,2017,0,0.02613849841290404,0.589639736029699
2017-12-04,305.2,5834227.0,306.5,308.265,300.61,2017,0,-0.036646570499668615,0.4548682170270693
2017-12-11,328.91,7926090.0,314.63,329.01,313.75,2017,0,0.07768676277850602,0.7002908511885472
2017-12-18,338.87,5466546.0,344.9,346.73,337.58,2017,0,0.03028184001702587,0.5985336410839701
2018-01-08,336.41,9832610.0,316.0,337.0199,315.5,2018,0,-0.007259421016909079,0.5179493100886037
2018-01-22,351.56,6199777.0,349.4,357.83,349.2,2018,0,0.045034333105436745,0.6302006590077617
2018-01-29,349.53,4738208.0,339.85,350.85,338.28,2018,0,-0.005774263283650101,0.5211372808456085
2018-02-05,333.13,4441166.0,337.97,344.47,333.0,2018,0,-0.04692014991560089,0.43281542760658853
2018-02-12,315.73,6224479.0,316.13,318.08,306.25,2018,0,-0.05223186143547557,0.42141355384207757
2018-02-26,357.42,4334500.0,353.5,359.0,352.355,2018,0,0.1320432014696101,0.8169698632029218
2018-03-05,333.35,3820702.0,332.39,337.75,329.2929,2018,0,-0.06734374125678472,0.38897509301408945
2018-03-12,345.51,8252919.0,328.61,347.21,326.5,2018,0,0.036478176091195344,0.6118344089166766
2018-03-19,313.56,7467890.0,316.5,320.75,309.67,2018,0,-0.09247199791612395,0.33503594189867303
2018-03-26,304.18,8364937.0,307.34,307.59,291.36,2018,0,-0.0299145299145299,0.4693189033345078
2018-04-02,252.48,16093290.0,256.26,260.3318,244.5901,2018,0,-0.1699651522125058,0.1686927284927679
2018-04-09,289.66,10241410.0,300.37,309.5,289.21,2018,0,0.14725918884664146,0.849631796484908
2018-04-16,291.21,6289497.0,299.0,299.66,289.01,2018,0,0.0053511012911688,0.5450184728101225
2018-04-23,283.37,4880743.0,291.29,291.62,282.33,2018,0,-0.026922152398612603,0.47574220222123936
2018-04-30,293.9,4224068.0,293.61,298.73,292.5,2018,0,0.03715989695451167,0.6132977593258776
2018-05-07,302.77,8673090.0,297.5,305.9588,295.17,2018,0,0.030180333446750612,0.5983157517847834
2018-05-14,291.97,7265501.0,303.32,304.94,291.62,2018,0,-0.03567064108068816,0.4569631018860555
2018-05-21,284.49,9167844.0,281.33,291.49,281.3,2018,0,-0.025619070452443805,0.4785393375324169
2018-06-04,296.74,4793787.0,294.34,299.0,293.548,2018,0,0.043059510000351506,0.6259615952583145
2018-06-11,332.1,13166050.0,322.51,334.66,322.5,2018,0,0.11916155557053316,0.7893187191468396
2018-06-18,370.83,12025450.0,355.4,373.73,354.5,2018,0,0.11662149954832869,0.783866352614584
2018-06-25,333.01,6925089.0,330.12,338.47,327.5,2018,0,-0.10198743359490871,0.3146105486863573
2018-07-02,335.07,18732710.0,360.07,364.78,329.85,2018,0,0.006186000420407803,0.5468106285855378
2018-07-09,318.51,7579541.0,311.99,318.52,308.0,2018,0,-0.04942250872951921,0.42744398015447216
2018-07-16,310.1,7800454.0,311.71,315.16,306.25,2018,0,-0.026404194530783864,0.4768540265743168
2018-07-23,303.2,10974820.0,301.84,305.5,292.8601,2018,0,-0.022250886810706333,0.48576932443119475
2018-07-30,290.17,6799581.0,295.9,296.1,286.13,2018,0,-0.04297493403693923,0.44128404516120034
