id,value,type
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2045,1,2045
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2050,1,2050
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
