date,open,high,low,close,adj_close,volume,year,weekday,change,nChange
2016-10-17,197.050003,198.389999,192.0,193.960007,193.960007,4554100,2016,0,-0.012976378122649757,0.40211814010442787
2016-10-18,195.990005,199.470001,193.259995,199.100006,199.100006,5680500,2016,1,0.02650030323003658,0.4939823621523076
2016-10-19,199.740005,206.660004,198.059998,203.559998,203.559998,6991200,2016,2,0.02240076276039891,0.48444252539063826
2016-10-20,202.119995,203.0,197.050003,199.100006,199.100006,5072900,2016,3,-0.021909962879838502,0.38132923927241563
2016-10-21,198.600006,201.570007,197.410004,200.089996,200.089996,2943400,2016,4,0.0049723253147466295,0.4438856753061254
2016-10-24,201.0,203.949997,200.25,202.759995,202.759995,2751600,2016,0,0.013343990471167733,0.4633669609787782
2016-10-25,202.899994,204.690002,201.199997,202.339996,202.339996,2445000,2016,1,-0.002071409599314648,0.427494550064092
2016-10-26,201.0,203.190002,200.100006,202.240005,202.240005,5632800,2016,2,-0.0004941731836350191,0.43116485849294717
2016-10-27,211.339996,213.699997,201.649994,204.009995,204.009995,13093700,2016,3,0.008751928185523962,0.45268100119159943
2016-10-28,204.0,205.320007,199.830002,199.970001,199.970001,4280100,2016,4,-0.0198029219107623,0.38623242953093584
2016-10-31,202.490005,202.490005,195.809998,197.729996,197.729996,4692300,2016,0,-0.011201705199771423,0.40624789321090476
2016-11-01,198.039993,198.5,188.110001,190.789993,190.789993,7060000,2016,1,-0.035098382341544124,0.35063912418734255
2016-11-02,190.050003,192.699997,187.509995,188.020004,188.020004,4253400,2016,2,-0.014518523516063074,0.3985294902484542
2016-11-03,189.0,191.470001,187.039993,187.419998,187.419998,2653000,2016,3,-0.003191181721281144,0.42488878404398667
2016-11-04,189.0,193.460007,185.960007,190.559998,190.559998,5146000,2016,4,0.01675381513983377,0.4713017943987449
2016-11-07,193.589996,194.289993,190.050003,193.210007,193.210007,3870100,2016,0,0.013906428567447733,0.46467578270326027
2016-11-08,193.789993,197.490005,191.259995,194.940002,194.940002,3267600,2016,1,0.00895396168584582,0.4531511433033151
2016-11-09,186.880005,192.0,183.949997,190.059998,190.059998,8173100,2016,2,-0.025033363855202922,0.3740609281856248
2016-11-10,191.050003,191.610001,180.419998,185.350006,185.350006,6750300,2016,3,-0.02478160606946865,0.37464678120919465
2016-11-11,184.240005,188.880005,183.0,188.559998,188.559998,3988500,2016,4,0.017318542735844312,0.472615943904196
2016-11-14,188.0,188.25,178.190002,181.449997,181.449997,6552200,2016,0,-0.03770683642031016,0.34456912041593496
2016-11-15,182.779999,186.429993,182.050003,183.770004,183.770004,3902000,2016,1,0.012785930219662688,0.4620683267191669
2016-11-16,182.649994,184.729996,181.210007,183.929993,183.929993,3434400,2016,2,0.0008705936579290488,0.4343407395417348
2016-11-17,183.490005,189.490005,182.110001,188.660004,188.660004,4887100,2016,3,0.025716365900149796,0.49215810057619014
2016-11-18,190.649994,193.0,185.0,185.020004,185.020004,5210300,2016,4,-0.019293967575660535,0.38741679185446326
2016-11-21,185.039993,188.889999,184.410004,184.520004,184.520004,4361000,2016,0,-0.0027024104917866072,0.4260261792661371
2016-11-22,185.839996,191.470001,183.710007,191.169998,191.169998,5603400,2016,1,0.036039420419696024,0.5161803673955216
2016-11-23,190.610001,195.639999,189.0,193.139999,193.139999,4891900,2016,2,0.010304969506773738,0.45629500641939996
2016-11-25,193.639999,197.240005,193.639999,196.649994,196.649994,2366100,2016,4,0.01817331996568978,0.47460505348872417
2016-11-28,195.479996,199.350006,194.550003,196.119995,196.119995,4529200,2016,0,-0.002695138653296901,0.4260431011998667
2016-11-29,195.559998,196.729996,189.5,189.570007,189.570007,4439300,2016,1,-0.03339785930547258,0.3545963267796162
2016-11-30,191.0,191.889999,187.5,189.399994,189.399994,3547100,2016,2,-0.0008968349091215232,0.4302278444154516
2016-12-01,188.25,188.529999,181.0,181.880005,181.880005,5126400,2016,3,-0.03970427264110674,0.33992098591662384
2016-12-02,182.880005,184.880005,180.0,181.470001,181.470001,4042300,2016,4,-0.002254255491141068,0.4270690584819294
2016-12-05,182.509995,188.889999,182.509995,186.800003,186.800003,4072200,2016,0,0.029371256795220978,0.5006632154247752
2016-12-06,185.520004,186.580002,182.679993,185.850006,185.850006,3391600,2016,1,-0.005085636963292748,0.42048029145928556
2016-12-07,186.149994,193.399994,185.0,193.149994,193.149994,5461900,2016,2,0.03927892259524589,0.5237188518116909
2016-12-08,192.050003,192.5,189.539993,192.289993,192.289993,3194100,2016,3,-0.0044525033741392855,0.4219536251496316
2016-12-09,190.869995,193.839996,190.809998,192.179993,192.179993,2722500,2016,4,-0.0005720526496665566,0.4309836290603975
2016-12-12,192.800003,194.419998,191.179993,192.429993,192.429993,2438900,2016,0,0.0013008638209285397,0.4353419998412324
2016-12-13,193.179993,201.279999,193.0,198.149994,198.149994,6823900,2016,1,0.029725101117682815,0.5014866289513229
2016-12-14,198.740005,203.0,196.759995,198.690002,198.690002,4150900,2016,2,0.002725248631599758,0.43865661490119934
2016-12-15,198.410004,200.740005,197.389999,197.580002,197.580002,3219600,2016,3,-0.00558659212253662,0.41931454362010767
2016-12-16,198.080002,202.589996,197.600006,202.490005,202.490005,3796900,2016,4,0.024850708322191377,0.49014367187463487
2016-12-19,202.490005,204.449997,199.839996,202.729996,202.729996,3488100,2016,0,0.0011851992398341014,0.43507284254642825
2016-12-20,203.050003,209.0,202.5,208.789993,208.789993,4689100,2016,1,0.029891960339209052,0.5018749187480278
2016-12-21,208.449997,212.229996,207.410004,207.699997,207.699997,5207600,2016,2,-0.005220537557084996,0.4201663709959162
