district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Bikaner, RJ",65.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.0,0.0,0.42,2.11,2.53,5.07
"Bilaspur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilaspur, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilaspur(CT), CT",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bilaspur(HP), HP",7.0,,,,,,,,,,,,,,,,,,,,,2.62,2.62,2.62,2.62,0.0
"Birbhum, WB",12.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
"Bishnupur, MN",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Biswanath, AS",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bokaro, JH",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bongaigaon, AS",5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Botad, GJ",56.0,1.52,1.52,1.52,9.15,1.52,3.05,3.05,9.15,4.57,4.57,12.2,10.67,3.05,3.05,3.05,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Boudh, OR",5.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Budaun, UP",17.0,,,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Budgam, JK",59.0,,,,,,,,,,,0.0,0.0,0.0,20.39,4.08,4.08,4.08,4.08,4.08,9.51,9.51,9.51,20.39,20.39,0.0
"Bulandshahr, UP",95.0,3.14,1.43,1.43,0.57,0.57,0.57,1.43,1.43,0.29,1.43,1.43,0.29,1.43,1.43,1.43,1.43,1.43,0.29,1.43,1.43,1.14,0.29,0.29,0.29,0.29
"Buldana, MH",30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.77,0.77,0.0,0.0
"Bundi, RJ",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Burhanpur, MP",194.0,,,,,,,,,21.14,21.14,21.14,21.14,21.14,21.14,6.61,10.57,6.61,10.57,10.57,10.57,35.67,35.67,21.14,21.14,55.48
"Buxar, BR",64.0,2.93,1.17,1.17,1.17,8.2,2.93,2.93,1.17,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.59,0.59,2.93,2.93
"Cachar, AS",14.0,,,,,,,,,,,,,2.3,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0
"Chamarajanagara, KA",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Chamba, HP",13.0,,,,,,,,,,,,,,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chamoli, UT",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Champawat, UT",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Champhai, MZ",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Chandauli, UP",12.0,,,,,,,,,,,,,,,,,,,,,,2.56,0.51,0.51,0.51
"Chandel, MN",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
