district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Chennai, TN",7677.0,,,,70.72,38.47,34.59,36.61,35.26,29.41,28.04,25.15,22.52,20.84,19.75,16.94,16.28,15.41,14.73,12.9,12.3,10.07,8.15,7.23,6.68,6.83
"Chhatarpur, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chhindwara, MP",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chikkaballapura, KA",24.0,,,,,,0.0,0.0,20.0,30.0,36.67,36.67,36.67,16.67,6.67,0.0,5.0,9.0,12.33,12.33,12.33,7.33,3.33,0.0,0.0,0.0
"Chikkamagaluru, KA",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chirang, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chitradurga, KA",10.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.67,11.67,15.67,19.0
"Chitrakoot, UP",16.0,,,,,,,,,,,,,,,,,,,,,30.0,10.0,0.0,0.0,6.67
"Chittaurgarh, RJ",160.0,,,,,,,,,,,52.48,32.83,34.5,29.8,14.46,15.63,19.18,13.9,12.78,11.87,8.37,4.58,4.67,3.68,2.35
"Chittoor, AP",192.0,,,,15.73,13.51,11.86,12.86,13.58,14.13,12.42,11.95,9.26,7.16,5.46,8.12,10.52,11.01,11.62,12.31,10.68,8.88,8.13,6.79,6.76,5.38
"Chota Udaipur, GJ",22.0,,,,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,38.1,39.91,41.58,43.12,17.88,7.79
"Churachandpur, MN",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Churu, RJ",49.0,,,,,,,,,,,,,,,,,,,,,97.44,78.62,19.73,13.28,7.01
"Coimbatore, TN",145.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cooch Behar, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuddalore, TN",420.0,,,,,,,,,,,,322.89,285.04,227.11,23.94,13.85,4.5,2.4,1.25,1.14,1.13,1.13,1.13,0.26,0.31
"Cuttack, OR",27.0,,,,,,,,,,,,,,,,,,,,,,,,,
