id,value,district,per_outbreak_free_districts,per_outbreak_free_population
"district.Kallakurichi, TN",58,"Kallakurichi, TN",27,10
"district.Virudhunagar, TN",46,"Virudhunagar, TN",27,10
"district.Nanded, MH",58,"Nanded, MH",27,10
"district.Kanpur-Dehat, UP",5,"Kanpur-Dehat, UP",27,10
"district.Diu, DN",1,"Diu, DN",27,10
"district.Etah, UP",12,"Etah, UP",27,10
"district.Malappuram, KL",33,"Malappuram, KL",27,10
"district.Leh, LA",35,"Leh, LA",27,10
"district.Koriya, CT",1,"Koriya, CT",27,10
"district.Uttarkashi, UT",2,"Uttarkashi, UT",27,10
"district.Kollam, KL",21,"Kollam, KL",27,10
"district.Bhadohi, UP",4,"Bhadohi, UP",27,10
"district.Deoria, UP",4,"Deoria, UP",27,10
"district.Chittaurgarh, RJ",143,"Chittaurgarh, RJ",27,10
"district.Longding, AR",1,"Longding, AR",27,10
"district.Durg, CT",11,"Durg, CT",27,10
"district.Sirohi, RJ",15,"Sirohi, RJ",27,10
"district.Hooghly, WB",135,"Hooghly, WB",27,10
"district.Bokaro, JH",11,"Bokaro, JH",27,10
"district.Sangli, MH",42,"Sangli, MH",27,10
"district.Zunheboto, NL",1,"Zunheboto, NL",27,10
"district.Pashchimi-Singhbhum, JH",1,"Pashchimi-Singhbhum, JH",27,10
"district.Barpeta, AS",1,"Barpeta, AS",27,10
"district.Dohad, GJ",21,"Dohad, GJ",27,10
"district.Lalitpur, UP",2,"Lalitpur, UP",27,10
"district.Cooch-Behar, WB",1,"Cooch-Behar, WB",27,10
"district.Kolar, KA",6,"Kolar, KA",27,10
"district.Chengalpattu, TN",412,"Chengalpattu, TN",27,10
"district.Howrah, WB",485,"Howrah, WB",27,10
"district.Mahabubabad, TG",2,"Mahabubabad, TG",27,10
"district.Hoshangabad, MP",38,"Hoshangabad, MP",27,10
"district.Udupi, KA",4,"Udupi, KA",27,10
"district.Latehar, JH",1,"Latehar, JH",27,10
"district.Tuensang, NL",1,"Tuensang, NL",27,10
"district.Ambala, HR",43,"Ambala, HR",27,10
"district.Mungeli, CT",1,"Mungeli, CT",27,10
"district.Kullu, HP",1,"Kullu, HP",27,10
"district.Singrauli, MP",1,"Singrauli, MP",27,10
"district.Dehradun, UT",37,"Dehradun, UT",27,10
"district.Fatehabad, HR",8,"Fatehabad, HR",27,10
"district.Palakkad, KL",17,"Palakkad, KL",27,10
"district.Bandipore, JK",135,"Bandipore, JK",27,10
"district.Salem, TN",36,"Salem, TN",27,10
"district.Surat, GJ",968,"Surat, GJ",27,10
"district.Mandi, HP",3,"Mandi, HP",27,10
"district.Davanagere, KA",86,"Davanagere, KA",27,10
"district.Latur, MH",33,"Latur, MH",27,10
"district.Gurugram, HR",167,"Gurugram, HR",27,10
"district.Kaushambi, UP",6,"Kaushambi, UP",27,10
"district.Kamle, AR",1,"Kamle, AR",27,10
"district.Jashpur, CT",1,"Jashpur, CT",27,10
"district.Bilaspur(CT), CT",2,"Bilaspur(CT), CT",27,10
"district.Nizamabad, TG",62,"Nizamabad, TG",27,10
"district.Kancheepuram, TN",158,"Kancheepuram, TN",27,10
"district.Pakur, JH",1,"Pakur, JH",27,10
"district.Chhatarpur, MP",1,"Chhatarpur, MP",27,10
"district.Balrampur(UP), UP",3,"Balrampur(UP), UP",27,10
"district.Darjeeling, WB",8,"Darjeeling, WB",27,10
"district.Jogulamba-Gadwal, TG",46,"Jogulamba-Gadwal, TG",27,10
"district.Birbhum, WB",8,"Birbhum, WB",27,10
"district.Chandrapur, MH",5,"Chandrapur, MH",27,10
"district.Dhar, MP",90,"Dhar, MP",27,10
"district.Karauli, RJ",8,"Karauli, RJ",27,10
"district.Alwar, RJ",33,"Alwar, RJ",27,10
"district.Raigarh(MH), MH",309,"Raigarh(MH), MH",27,10
"district.Barnala, PB",22,"Barnala, PB",27,10
"district.Saitual, MZ",1,"Saitual, MZ",27,10
"district.Mandsaur, MP",57,"Mandsaur, MP",27,10
"district.Siwan, BR",39,"Siwan, BR",27,10
"district.Kodagu, KA",2,"Kodagu, KA",27,10
"district.Kapurthala, PB",28,"Kapurthala, PB",27,10
"district.Sindhudurg, MH",8,"Sindhudurg, MH",27,10
"district.Churachandpur, MN",1,"Churachandpur, MN",27,10
"district.Bathinda, PB",41,"Bathinda, PB",27,10
"district.Kheri, UP",6,"Kheri, UP",27,10
"district.Vidisha, MP",14,"Vidisha, MP",27,10
"district.Kurukshetra, HR",4,"Kurukshetra, HR",27,10
"district.Niwari, MP",1,"Niwari, MP",27,10
"district.Sonipat, HR",121,"Sonipat, HR",27,10
"district.Biswanath, AS",1,"Biswanath, AS",27,10
"district.Samastipur, BR",12,"Samastipur, BR",27,10
"district.Hazaribagh, JH",11,"Hazaribagh, JH",27,10
"district.Devbhumi-Dwarka, GJ",13,"Devbhumi-Dwarka, GJ",27,10
"district.Madhepura, BR",10,"Madhepura, BR",27,10
"district.Kinnaur, HP",1,"Kinnaur, HP",27,10
"district.Tinsukia, AS",1,"Tinsukia, AS",27,10
"district.Bijapur, CT",1,"Bijapur, CT",27,10
"district.Kathua, JK",18,"Kathua, JK",27,10
"district.West-Tripura, TR",1,"West-Tripura, TR",27,10
"district.Jamnagar, GJ",34,"Jamnagar, GJ",27,10
"district.Jagitial, TG",7,"Jagitial, TG",27,10
"district.North-and-Middle-Andaman, AN",2,"North-and-Middle-Andaman, AN",27,10
"district.Sant-Kabir-Nagar, UP",33,"Sant-Kabir-Nagar, UP",27,10
"district.Medak, TG",6,"Medak, TG",27,10
"district.Dima-Hasao, AS",1,"Dima-Hasao, AS",27,10
"district.Moradabad, UP",136,"Moradabad, UP",27,10
"district.Dhaulpur, RJ",25,"Dhaulpur, RJ",27,10
"district.Fatehgarh-Sahib, PB",57,"Fatehgarh-Sahib, PB",27,10
"district.Bongaigaon, AS",6,"Bongaigaon, AS",27,10
"district.Charaideo, AS",1,"Charaideo, AS",27,10
"district.Jharsuguda, OR",3,"Jharsuguda, OR",27,10
"district.Neemuch, MP",39,"Neemuch, MP",27,10
"district.Almora, UT",3,"Almora, UT",27,10
"district.Kushinagar, UP",3,"Kushinagar, UP",27,10
"district.Erode, TN",71,"Erode, TN",27,10
"district.North-Goa, GA",7,"North-Goa, GA",27,10
"district.Thanjavur, TN",66,"Thanjavur, TN",27,10
"district.Jagatsinghapur, OR",6,"Jagatsinghapur, OR",27,10
"district.Raichur, KA",1,"Raichur, KA",27,10
"district.Raipur, CT",8,"Raipur, CT",27,10
"district.Mahasamund, CT",1,"Mahasamund, CT",27,10
"district.Ratnagiri, MH",61,"Ratnagiri, MH",27,10
"district.Shahdol, MP",4,"Shahdol, MP",27,10
"district.Dausa, RJ",29,"Dausa, RJ",27,10
"district.Baramula, JK",111,"Baramula, JK",27,10
"district.Bageshwar, UT",1,"Bageshwar, UT",27,10
"district.Dhenkanal, OR",2,"Dhenkanal, OR",27,10
"district.Ramban, JK",2,"Ramban, JK",27,10
"district.East-Khasi-Hills, ML",14,"East-Khasi-Hills, ML",27,10
"district.Khammam, TG",9,"Khammam, TG",27,10
"district.Mahesana, GJ",68,"Mahesana, GJ",27,10
"district.Anand, GJ",81,"Anand, GJ",27,10
"district.South-District, SK",1,"South-District, SK",27,10
"district.Hassan, KA",10,"Hassan, KA",27,10
"district.Khunti, JH",1,"Khunti, JH",27,10
"district.Jodhpur, RJ",920,"Jodhpur, RJ",27,10
"district.Hyderabad, TG",828,"Hyderabad, TG",27,10
"district.Seoni, MP",2,"Seoni, MP",27,10
"district.Purnia, BR",5,"Purnia, BR",27,10
"district.Angul, OR",16,"Angul, OR",27,10
"district.Dumka, JH",3,"Dumka, JH",27,10
"district.Kalaburagi, KA",82,"Kalaburagi, KA",27,10
"district.Ratlam, MP",29,"Ratlam, MP",27,10
"district.Jayashankar, TG",4,"Jayashankar, TG",27,10
"district.Morigaon, AS",8,"Morigaon, AS",27,10
"district.Rajgarh, MP",1,"Rajgarh, MP",27,10
"district.Nayagarh, OR",2,"Nayagarh, OR",27,10
"district.Imphal-West, MN",2,"Imphal-West, MN",27,10
"district.Mayurbhanj, OR",10,"Mayurbhanj, OR",27,10
"district.Siang, AR",1,"Siang, AR",27,10
"district.Katni, MP",1,"Katni, MP",27,10
"district.Lunglei, MZ",1,"Lunglei, MZ",27,10
"district.Chamba, HP",13,"Chamba, HP",27,10
"district.Bametara, CT",1,"Bametara, CT",27,10
"district.Chhindwara, MP",6,"Chhindwara, MP",27,10
"district.Karimganj, AS",3,"Karimganj, AS",27,10
"district.Hingoli, MH",62,"Hingoli, MH",27,10
"district.Mysuru, KA",89,"Mysuru, KA",27,10
"district.Shrawasti, UP",13,"Shrawasti, UP",27,10
"district.Dadra-and-Nagar-Haveli, DN",2,"Dadra-and-Nagar-Haveli, DN",27,10
"district.Banka, BR",12,"Banka, BR",27,10
"district.Muzaffarnagar, UP",27,"Muzaffarnagar, UP",27,10
"district.Jamui, BR",2,"Jamui, BR",27,10
"district.Gondiya, MH",2,"Gondiya, MH",27,10
"district.Auraiya, UP",19,"Auraiya, UP",27,10
"district.Baran, RJ",4,"Baran, RJ",27,10
"district.Dungarpur, RJ",14,"Dungarpur, RJ",27,10
"district.Amreli, GJ",2,"Amreli, GJ",27,10
"district.Lohardaga, JH",1,"Lohardaga, JH",27,10
"district.Fazilka, PB",42,"Fazilka, PB",27,10
"district.Umaria, MP",1,"Umaria, MP",27,10
"district.Bharuch, GJ",33,"Bharuch, GJ",27,10
"district.Akola, MH",193,"Akola, MH",27,10
"district.Gir-Somnath, GJ",19,"Gir-Somnath, GJ",27,10
"district.Kendujhar, OR",5,"Kendujhar, OR",27,10
"district.Kamrup-Metropolitan, AS",22,"Kamrup-Metropolitan, AS",27,10
"district.East-District, SK",1,"East-District, SK",27,10
"district.Kalahandi, OR",3,"Kalahandi, OR",27,10
"district.Udaipur, RJ",258,"Udaipur, RJ",27,10
"district.Nagaur, RJ",140,"Nagaur, RJ",27,10
"district.Mahisagar, GJ",48,"Mahisagar, GJ",27,10
"district.Gariaband, CT",1,"Gariaband, CT",27,10
"district.Tapi, GJ",3,"Tapi, GJ",27,10
"district.West-Karbi-Anglong, AS",1,"West-Karbi-Anglong, AS",27,10
"district.Saharanpur, UP",193,"Saharanpur, UP",27,10
"district.Yadgir, KA",3,"Yadgir, KA",27,10
"district.Panipat, HR",37,"Panipat, HR",27,10
"district.Tiruvannamalai, TN",130,"Tiruvannamalai, TN",27,10
"district.Supaul, BR",8,"Supaul, BR",27,10
"district.Mumbai-Suburban, MH",1,"Mumbai-Suburban, MH",27,10
"district.Tikamgarh, MP",4,"Tikamgarh, MP",27,10
"district.Mainpuri, UP",14,"Mainpuri, UP",27,10
"district.Garhwa, JH",24,"Garhwa, JH",27,10
"district.Lakhisarai, BR",7,"Lakhisarai, BR",27,10
"district.Cachar, AS",12,"Cachar, AS",27,10
"district.Thane, MH",3066,"Thane, MH",27,10
"district.Viluppuram, TN",317,"Viluppuram, TN",27,10
"district.Firozabad, UP",195,"Firozabad, UP",27,10
"district.Dhanbad, JH",5,"Dhanbad, JH",27,10
"district.Barwani, MP",27,"Barwani, MP",27,10
"district.Dhamtari, CT",1,"Dhamtari, CT",27,10
"district.Sivaganga, TN",13,"Sivaganga, TN",27,10
"district.Pherzawl, MN",1,"Pherzawl, MN",27,10
"district.Ludhiana, PB",149,"Ludhiana, PB",27,10
"district.Upper-Siang, AR",1,"Upper-Siang, AR",27,10
"district.Solan, HP",10,"Solan, HP",27,10
"district.Darrang, AS",1,"Darrang, AS",27,10
"district.Vellore, TN",36,"Vellore, TN",27,10
"district.Pathanamthitta, KL",19,"Pathanamthitta, KL",27,10
"district.Bhojpur, BR",29,"Bhojpur, BR",27,10
"district.Debagarh, OR",2,"Debagarh, OR",27,10
"district.Purba-Bardhaman, WB",10,"Purba-Bardhaman, WB",27,10
"district.Mahe, PY",3,"Mahe, PY",27,10
"district.Harda, MP",4,"Harda, MP",27,10
"district.Pratapgarh(UP), UP",17,"Pratapgarh(UP), UP",27,10
"district.Sri-Muktsar-Sahib, PB",66,"Sri-Muktsar-Sahib, PB",27,10
"district.Dakshina-Kannada, KA",29,"Dakshina-Kannada, KA",27,10
"district.Bhopal, MP",859,"Bhopal, MP",27,10
"district.Bahraich, UP",27,"Bahraich, UP",27,10
"district.Jangoan, TG",4,"Jangoan, TG",27,10
"district.The-Dangs, GJ",1,"The-Dangs, GJ",27,10
"district.Jiribam, MN",1,"Jiribam, MN",27,10
"district.Tenkasi, TN",51,"Tenkasi, TN",27,10
"district.Madhubani, BR",32,"Madhubani, BR",27,10
"district.North-24-Parganas, WB",302,"North-24-Parganas, WB",27,10
"district.Tehri-Garhwal, UT",1,"Tehri-Garhwal, UT",27,10
"district.Thoothukudi, TN",37,"Thoothukudi, TN",27,10
"district.Gomati, TR",3,"Gomati, TR",27,10
"district.Kanpur-Nagar, UP",309,"Kanpur-Nagar, UP",27,10
"district.Bengaluru-Rural, KA",7,"Bengaluru-Rural, KA",27,10
"district.Botad, GJ",57,"Botad, GJ",27,10
"district.Narayanpet, TG",2,"Narayanpet, TG",27,10
