district,state,cases,deaths,current_avg_growth_rate,day0,day1,day2,day3,day4,population,state_code,cases_per_million
East Champaran,Bihar,15.0,1.0,,,,,,,5082868.0,BR,2.9510898177957796
East District,Sikkim,0.0,0.0,,,,,,,281293.0,SK,0.0
East Garo Hills,Meghalaya,0.0,0.0,,,,,,,317618.0,ML,0.0
East Godavari,Andhra Pradesh,51.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5151549.0,AP,9.899934951603878
East Jaintia Hills,Meghalaya,0.0,0.0,,,,,,,122436.0,ML,0.0
East Kameng,Arunachal Pradesh,0.0,0.0,,,,,,,78413.0,AR,0.0
East Khasi Hills,Meghalaya,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,824059.0,ML,15.775569467720153
East Siang,Arunachal Pradesh,0.0,0.0,,,,,,,99019.0,AR,0.0
East Singhbhum,Jharkhand,1.0,0.0,,,,,,,2291032.0,JH,0.4364845187670884
Ernakulam,Kerala,27.0,1.0,,,,,,,3279860.0,KL,8.232058685431696
Erode,Tamil Nadu,70.0,1.0,,,,,,,2259608.0,TN,30.97882464569076
Etah,Uttar Pradesh,11.0,1.0,4.3,9.25,8.45,7.79,5.97,4.3,1761152.0,UP,6.245911766843522
Etawah,Uttar Pradesh,2.0,0.0,,,,,,,1579160.0,UP,1.2664961118569364
Faizabad,Uttar Pradesh,1.0,0.0,,,,,,,2468371.0,UP,0.4051254855935352
Faridabad,Haryana,119.0,4.0,15.61,16.3,15.5,17.65,17.57,15.61,1798954.0,HR,66.14955135039585
Faridkot,Punjab,46.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,618008.0,PB,74.43269342791679
Farrukhabad,Uttar Pradesh,8.0,0.0,,,,,,,1887577.0,UP,4.238237698382636
Fatehabad,Haryana,7.0,0.0,,,,,,,941522.0,HR,7.434770509876563
Fatehgarh Sahib,Punjab,56.0,0.0,17.34,15.0,16.25,18.59,20.82,17.34,599814.0,PB,93.36227563878136
Fatehpur,Uttar Pradesh,6.0,0.0,,,,,,,2632684.0,UP,2.279042984270045
Fazilka,Punjab,41.0,0.0,20.0,,,0.0,20.0,20.0,1180483.0,PB,34.731546324682355
Firozabad,Uttar Pradesh,194.0,4.0,2.49,8.45,6.96,3.91,3.87,2.49,2496761.0,UP,77.70066898673922
Firozpur,Punjab,44.0,1.0,0.0,1.63,0.8,0.0,0.0,0.0,2026831.0,PB,21.708766049068718
Gadag,Karnataka,8.0,1.0,,,,,,,1065235.0,KA,7.510079935413313
Gadchiroli,Maharashtra,0.0,0.0,,,,,,,1071795.0,MH,0.0
Gajapati,Odisha,0.0,0.0,,,,,,,575880.0,OR,0.0
