date,close,volume,open,high,low,year,weekday,change
2015-10-05,246.15,3684490.0000,248.84,249.84,244.13,2015,0,-0.005735751504624904
2015-10-06,241.46,5234679.0000,240.0,243.03,235.58,2015,1,-0.01905342270972983
2015-10-07,231.96,6804433.0000,236.63,237.7,229.12,2015,2,-0.03934399072310114
2015-10-08,226.72,6125994.0000,230.08,230.72,221.31,2015,3,-0.02259010174167964
2015-10-09,220.69,6153754.0000,220.93,224.37,218.36,2015,4,-0.026596683133380386
2015-10-12,215.58,3816171.0000,222.99,223.0,215.27,2015,0,-0.023154651320857245
2015-10-13,219.25,5168162.0000,213.28,222.522,211.13,2015,1,0.01702384265701822
2015-10-14,216.88,3094436.0000,220.67,220.95,215.43,2015,2,-0.0108095781071836
2015-10-15,221.31,2835920.0000,216.43,221.73,213.7,2015,3,0.02042604205090376
2015-10-16,227.01,4327574.0000,223.04,230.4805,222.87,2015,4,0.025755727260403906
2015-10-19,228.1,2506836.0000,226.5,231.15,224.94,2015,0,0.004801550592484927
2015-10-20,213.03,14877020.0000,227.72,228.6,202.0,2015,1,-0.06606751424813675
2015-10-21,210.09,4177956.0000,211.99,214.81,208.8,2015,2,-0.01380087311646246
2015-10-22,211.72,2818801.0000,211.56,215.75,209.4,2015,3,0.007758579656337738
2015-10-23,209.09,4226411.0000,215.0,215.35,207.69,2015,4,-0.012422066880785922
2015-10-26,215.26,3388227.0000,211.38,215.88,210.0,2015,0,0.029508823951408424
2015-10-27,210.35,3512832.0000,214.84,217.1,207.51,2015,1,-0.02280962556907924
2015-10-28,212.96,2726880.0000,211.31,213.45,208.3,2015,2,0.01240789160922279
2015-10-29,211.63,1794743.0000,211.75,213.7481,210.64,2015,3,-0.006245304282494424
2015-10-30,206.93,4432433.0000,210.4,211.63,203.89,2015,4,-0.02220857156357789
2015-11-02,213.79,3924514.0000,208.92,215.8,207.22,2015,0,0.033151307205335066
2015-11-03,208.35,8065091.0000,213.85,214.44,207.75,2015,1,-0.02544553066092894
2015-11-04,231.63,12713530.0000,227.0,232.74,225.2,2015,2,0.1117350611951044
2015-11-05,231.77,4494944.0000,230.58,234.5843,229.19,2015,3,0.0006044122091266882
2015-11-06,232.36,2444264.0000,230.7,233.359,229.5,2015,4,0.0025456271303447527
2015-11-09,225.33,3846179.0000,232.99,232.99,224.31,2015,0,-0.030254777070063698
2015-11-10,216.5,4612408.0000,223.48,223.7,216.08,2015,1,-0.03918697022145303
2015-11-11,219.08,3337501.0000,217.77,219.48,213.63,2015,2,0.011916859122401905
2015-11-12,212.94,2913511.0000,217.85,219.0,212.66,2015,3,-0.028026291765565155
2015-11-13,207.19,3423139.0000,212.95,212.99,206.52,2015,4,-0.027002911618296235
